AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
82,868,4040,-16,9,-2,-59,126,-132
-565,1245,4249,832,818,-664,-43,108,-154
-963,1249,3780,798,626,-599,-33,106,-154
-1056,1576,3328,686,-79,-478,10,94,-180
-1058,1240,3231,1242,759,-412,40,68,-199
-1392,1665,2084,1508,90,-230,78,26,-199
-1123,2396,1232,247,-399,56,99,-45,-183
-483,2707,714,-854,-274,-41,99,-79,-171
-371,1673,2351,-1666,-888,-259,86,-61,-195
-663,874,3406,-1909,-470,-270,51,31,-236
-270,480,4163,-1886,39,-163,32,141,-232
-728,-824,4312,-1606,-168,-76,32,243,-182
-165,-786,4366,-1293,-355,-154,42,320,-95
-305,-1452,3879,-1196,-234,-203,64,318,19
-60,-804,3648,-1381,-714,-83,128,220,127
236,-2555,4627,-396,81,-9,247,63,122
-175,-1848,3430,-705,83,53,403,-34,-7
30,-2660,3756,-830,-399,83,556,-18,-174
20,-2558,3877,-57,-36,-102,726,83,-375
,,,,,,,,
255,-2842,3712,490,-192,-118,815,158,-476
-125,622,4090,-79,-34,-24,-41,141,-187
-1009,705,4640,781,6,-858,-19,142,-177
-1177,471,4457,894,-72,-667,-7,136,-194
-1301,469,3659,1238,345,-478,11,135,-210
-933,1415,3063,1203,287,-112,41,90,-221
-1291,1838,2568,960,-56,-398,69,25,-223
-944,2456,2200,771,-282,-39,81,-33,-221
-943,2880,1423,-210,-16,-6,71,-64,-203
-611,2590,2008,-832,-357,-99,71,-68,-208
-466,1803,2403,-1440,-416,-199,61,-41,-217
-777,764,3435,-2322,340,-42,42,33,-241
-406,224,3815,-1501,66,-238,43,141,-233
-652,-1020,5403,-1398,-41,-265,48,248,-188
-583,-1250,4412,-1184,-318,-194,59,315,-111
-484,-1436,4391,-1173,-234,-291,67,350,-7
-421,-1919,4120,-813,-253,-373,98,305,111
-492,-1999,3726,-797,-177,-182,146,212,166
-58,-2333,3893,-789,-255,-39,249,73,132
66,-2587,3887,-463,-80,-45,376,0,-3
,,,,,,,,
-110,-2525,3419,-372,-25,-117,511,7,-177
